"Sample","Glikoliz","TCA_Dongusu","Lipid_Sentezi","Nukleotit","Cancer"
"TCGA-61-2101-01A",3.99270418015884,3.83634118994677,3.62881969458933,3.57476164517476,"OV"
"TCGA-23-1111-01A",3.95359502700288,3.75254116812548,3.4947695669804,3.55731321834128,"OV"
"TCGA-25-2396-01A",3.85543179904014,3.76905958831022,3.53482040190057,3.59900672411563,"OV"
"TCGA-30-1714-01A",3.76631910120939,3.62826686016225,3.26887017056663,3.38245899892511,"OV"
"TCGA-04-1347-01A",3.80089204269334,3.71055133126111,3.4631838132228,3.46194239101322,"OV"
"TCGA-59-2351-01A",3.91185147289739,3.77580568266752,3.61845141978527,3.56094228983216,"OV"
"TCGA-09-1659-01B",3.9579902447021,3.81491724832711,3.50977038414246,3.59852823702457,"OV"
"TCGA-24-1431-01A",3.89929465988018,3.79432907783338,3.609866201964,3.57704354098256,"OV"
"TCGA-31-1951-01A",3.95771939489173,3.77717448140196,3.63583989329096,3.62292488221665,"OV"
"TCGA-29-1769-01A",3.90097171295252,3.75616756305149,3.59442082544695,3.61647112063873,"OV"
"TCGA-13-0916-01A",4.01851323690534,3.90053447779925,3.85812066011958,3.77063487127574,"OV"
"TCGA-61-1721-01A",3.73861594293013,3.62819995902705,3.56149509760681,3.32865829162106,"OV"
"TCGA-61-2008-02A",3.8341636857812,3.7301297526416,3.51245917442711,3.55221468438499,"OV"
"TCGA-20-1687-01A",3.89348984635506,3.74309588421911,3.40550997910034,3.43420083765139,"OV"
"TCGA-29-2414-01A",3.92250990075729,3.73619251840417,3.59136651879036,3.44867788936977,"OV"
"TCGA-29-2414-02A",3.87915380160188,3.72703980236911,3.49954694364023,3.48238130602609,"OV"
"TCGA-13-1411-01A",3.93377995504033,3.79734362651148,3.70943906011477,3.60859998583342,"OV"
"TCGA-24-1928-01A",3.94583213000573,3.82531083007619,3.62347431993913,3.62805185266439,"OV"
